file,Z,element_name,atomic_weight_ratio,subshell,binding_energy
Ne.h5,10,b'Ne',20.0056471,K,870.1
Ne.h5,10,b'Ne',20.0056471,L1,48.47
Ne.h5,10,b'Ne',20.0056471,L2,21.66
Ne.h5,10,b'Ne',20.0056471,L3,21.66
Tb.h5,65,b'Tb',157.559714,K,51999.0
Tb.h5,65,b'Tb',157.559714,L1,8711.0
Tb.h5,65,b'Tb',157.559714,L2,8256.0
Tb.h5,65,b'Tb',157.559714,L3,7518.0
Tb.h5,65,b'Tb',157.559714,M1,1965.0
Tb.h5,65,b'Tb',157.559714,M2,1768.0
Tb.h5,65,b'Tb',157.559714,M3,1612.0
Tb.h5,65,b'Tb',157.559714,M4,1277.0
Tb.h5,65,b'Tb',157.559714,M5,1243.0
Tb.h5,65,b'Tb',157.559714,N1,398.0
Tb.h5,65,b'Tb',157.559714,N2,315.0
Tb.h5,65,b'Tb',157.559714,N3,285.0
Tb.h5,65,b'Tb',157.559714,N4,157.0
Tb.h5,65,b'Tb',157.559714,N5,150.0
Tb.h5,65,b'Tb',157.559714,N6,6.0
Tb.h5,65,b'Tb',157.559714,N7,5.9
Tb.h5,65,b'Tb',157.559714,O1,48.0
Tb.h5,65,b'Tb',157.559714,O2,32.0
Tb.h5,65,b'Tb',157.559714,O3,28.0
Tb.h5,65,b'Tb',157.559714,P1,5.9
La.h5,57,b'La',137.711701,K,38928.0
La.h5,57,b'La',137.711701,L1,6269.0
La.h5,57,b'La',137.711701,L2,5894.0
La.h5,57,b'La',137.711701,L3,5486.0
La.h5,57,b'La',137.711701,M1,1365.0
La.h5,57,b'La',137.711701,M2,1207.0
La.h5,57,b'La',137.711701,M3,1124.0
La.h5,57,b'La',137.711701,M4,851.0
La.h5,57,b'La',137.711701,M5,834.0
La.h5,57,b'La',137.711701,N1,273.0
La.h5,57,b'La',137.711701,N2,210.0
La.h5,57,b'La',137.711701,N3,196.0
La.h5,57,b'La',137.711701,N4,105.0
La.h5,57,b'La',137.711701,N5,103.0
La.h5,57,b'La',137.711701,O1,36.0
La.h5,57,b'La',137.711701,O2,22.0
La.h5,57,b'La',137.711701,O3,19.0
La.h5,57,b'La',137.711701,O4,5.64
La.h5,57,b'La',137.711701,O5,5.64
La.h5,57,b'La',137.711701,P1,5.64
Xe.h5,54,b'Xe',130.172033,K,34565.0
Xe.h5,54,b'Xe',130.172033,L1,5453.2
Xe.h5,54,b'Xe',130.172033,L2,5107.2
Xe.h5,54,b'Xe',130.172033,L3,4787.3
Xe.h5,54,b'Xe',130.172033,M1,1148.7
Xe.h5,54,b'Xe',130.172033,M2,1002.1
Xe.h5,54,b'Xe',130.172033,M3,940.6
Xe.h5,54,b'Xe',130.172033,M4,689.0
Xe.h5,54,b'Xe',130.172033,M5,676.4
Xe.h5,54,b'Xe',130.172033,N1,213.2
Xe.h5,54,b'Xe',130.172033,N2,157.0
Xe.h5,54,b'Xe',130.172033,N3,145.5
Xe.h5,54,b'Xe',130.172033,N4,69.5
Xe.h5,54,b'Xe',130.172033,N5,67.5
Xe.h5,54,b'Xe',130.172033,O1,23.39
Xe.h5,54,b'Xe',130.172033,O2,13.43
Xe.h5,54,b'Xe',130.172033,O3,12.13
V.h5,23,b'V',50.5038738,K,5470.0
V.h5,23,b'V',50.5038738,L1,633.0
V.h5,23,b'V',50.5038738,L2,525.0
V.h5,23,b'V',50.5038738,L3,518.0
V.h5,23,b'V',50.5038738,M1,72.0
V.h5,23,b'V',50.5038738,M2,44.0
V.h5,23,b'V',50.5038738,M3,43.0
V.h5,23,b'V',50.5038738,M4,8.0
V.h5,23,b'V',50.5038738,M5,8.0
V.h5,23,b'V',50.5038738,N1,6.74
Na.h5,11,b'Na',22.7923002,K,1075.0
Na.h5,11,b'Na',22.7923002,L1,66.0
Na.h5,11,b'Na',22.7923002,L2,34.0
Na.h5,11,b'Na',22.7923002,L3,34.0
Na.h5,11,b'Na',22.7923002,M1,5.14
Sc.h5,21,b'Sc',44.5696947,K,4494.0
